Stock,Direction,Change %,ATM Strike,Expiry,CE LTP,PE LTP,CE Prev,PE Prev
MANKIND,CE,161.55,2550,2025-07-31,62.25,84.9,23.8,
HINDZINC,PE,135.0,400,2025-07-31,31.0,4.7,39.9,2.0
VEDL,PE,129.95,450,2025-07-31,13.65,21.5,17.1,9.35
HINDCOPPER,PE,118.75,250,2025-07-31,19.0,3.5,27.0,1.6
RBLBANK,CE,115.49,250,2025-07-31,15.3,4.0,7.1,7.5
GMRAIRPORT,CE,100.0,100,2025-07-31,0.7,7.55,0.35,8.65
PHOENIXLTD,PE,93.14,1500,2025-07-31,65.3,39.4,101.0,20.4
WIPRO,PE,86.21,250,2025-07-31,17.85,2.7,21.95,1.45
UNIONBANK,PE,70.1,150,2025-07-31,2.4,8.25,5.45,4.85
IEX,CE,66.67,200,2025-07-31,11.75,3.05,7.05,5.35
TATASTEEL,PE,66.67,150,2025-07-31,10.55,0.75,13.2,0.45
GAIL,PE,65.97,200,2025-07-31,1.25,15.85,2.65,9.55
ICICIPRULI,CE,65.66,700,2025-07-31,13.75,31.25,8.3,42.15
HINDALCO,PE,65.12,650,2025-07-31,34.25,7.1,42.1,4.3
IOC,PE,61.9,150,2025-07-31,4.0,3.4,6.3,2.1
PNB,PE,50.0,100,2025-07-31,11.55,0.3,12.65,0.2
RELIANCE,PE,49.76,1500,2025-07-31,41.05,15.5,,10.35
GODREJPROP,PE,47.71,2250,2025-07-31,80.6,70.9,,48.0
SIEMENS,PE,44.34,3200,2025-07-31,120.0,83.5,162.45,57.85
APOLLOHOSP,PE,38.78,7450,2025-07-31,154.5,110.4,227.0,79.55
UPL,PE,38.64,650,2025-07-31,19.8,9.15,26.55,6.6
APLAPOLLO,PE,36.65,1700,2025-07-31,53.25,36.35,74.0,26.6
KFINTECH,CE,33.46,1300,2025-07-31,54.65,46.9,40.95,67.7
BANKINDIA,PE,33.33,100,2025-07-31,19.05,0.2,,0.15
HINDUNILVR,CE,32.13,2400,2025-07-31,55.1,23.9,41.7,34.65
AMBER,CE,32.06,7700,2025-07-31,276.0,289.85,209.0,393.8
LAURUSLABS,CE,31.69,800,2025-07-31,22.65,29.1,17.2,37.0
BHARTIARTL,PE,31.6,2000,2025-07-31,36.4,26.65,45.25,20.25
KAYNES,CE,30.59,6100,2025-07-31,275.55,225.0,211.0,275.55
TECHM,PE,30.33,1600,2025-07-31,60.65,39.1,,30.0
KEI,PE,30.19,3700,2025-07-31,138.15,120.75,,92.75
HDFCLIFE,PE,29.41,800,2025-07-31,14.65,25.3,,19.55
GODREJCP,CE,28.41,1300,2025-07-31,27.8,29.9,21.65,40.05
BAJFINANCE,CE,27.92,950,2025-07-31,19.7,24.7,15.4,
MGL,PE,24.84,1500,2025-07-31,44.55,49.75,59.15,39.85
ADANIENSOL,CE,22.36,900,2025-07-31,29.0,33.6,23.7,37.0
DALBHARAT,CE,22.22,2200,2025-07-31,55.0,66.25,45.0,
PERSISTENT,PE,20.15,5700,2025-07-31,241.4,220.0,269.0,183.1
TIINDIA,PE,19.51,2900,2025-07-31,98.0,98.0,115.75,82.0
BEL,PE,18.75,400,2025-07-31,24.35,3.8,,3.2
LTIM,PE,18.53,5350,2025-07-31,167.85,175.9,193.85,148.4
GLENMARK,PE,18.06,1800,2025-07-31,85.0,57.85,,49.0
KALYANKJIL,CE,17.94,600,2025-07-31,13.15,30.6,11.15,35.8
ICICIBANK,PE,17.19,1450,2025-07-31,19.2,30.0,23.15,25.6
TORNTPHARM,CE,16.82,3350,2025-07-31,89.95,80.15,77.0,
SHRIRAMFIN,CE,15.7,700,2025-07-31,14.0,34.2,12.1,40.5
MANAPPURAM,PE,14.29,250,2025-07-31,16.4,2.0,,1.75
IREDA,PE,12.5,150,2025-07-31,17.2,1.35,18.25,1.2
RECLTD,PE,11.42,400,2025-07-31,8.3,16.1,9.15,14.45
TATACHEM,PE,11.11,900,2025-07-31,38.75,12.0,,10.8
PFC,PE,11.11,400,2025-07-31,24.7,4.5,26.8,4.05
PAGEIND,CE,11.04,48500,2025-07-31,910.0,1457.1,819.5,
HEROMOTOCO,CE,11.03,4350,2025-07-31,64.4,145.6,58.0,
JIOFIN,CE,10.77,350,2025-07-31,3.6,22.3,3.25,23.0
CYIENT,PE,10.58,1300,2025-07-31,40.1,55.4,,50.1
HDFCBANK,CE,9.72,2000,2025-07-31,37.8,24.25,34.45,
POWERGRID,CE,9.65,300,2025-07-31,6.25,5.2,5.7,
AUBANK,CE,8.78,850,2025-07-31,14.25,36.6,13.1,
TATAPOWER,PE,6.92,400,2025-07-31,10.3,8.5,10.9,7.95
ATGL,PE,6.74,650,2025-07-31,23.45,20.6,25.0,19.3
JUBLFOOD,PE,5.93,700,2025-07-31,13.0,26.8,,25.3
ASIANPAINT,CE,4.79,2500,2025-07-31,52.5,48.9,50.1,50.9
PPLPHARMA,CE,3.8,200,2025-07-31,8.2,5.75,7.9,5.7
IIFL,PE,3.1,500,2025-07-31,21.9,13.3,21.5,12.9
ASHOKLEY,CE,2.94,250,2025-07-31,7.0,5.0,6.8,
JSL,PE,2.49,700,2025-07-31,14.85,35.0,,34.15
BLUESTARCO,PE,2.22,1800,2025-07-31,54.8,50.55,,49.45
TATAMOTORS,PE,2.13,700,2025-07-31,13.7,19.15,,18.75
ADANIGREEN,PE,1.07,1000,2025-07-31,37.3,37.85,,37.45
POONAWALLA,CE,0.85,450,2025-07-31,29.6,7.2,29.35,7.2
HFCL,CE,0.0,100,2025-07-31,0.25,16.05,0.25,
PGEL,N/A,0.0,800,2025-07-31,27.9,35.0,,
NBCC,N/A,0.0,100,2025-07-31,0.0,0.3,,
SBIN,PE,-0.68,800,2025-07-31,20.9,7.3,,7.35
SRF,PE,-0.72,3300,2025-07-31,82.05,90.25,,90.9
MUTHOOTFIN,PE,-0.82,2650,2025-07-31,66.95,72.6,,73.2
AMBUJACEM,PE,-1.09,600,2025-07-31,10.75,18.1,,18.3
ALKEM,CE,-1.74,4800,2025-07-31,115.45,102.55,117.5,102.5
LICI,PE,-1.91,950,2025-07-31,16.1,28.3,,28.85
ETERNAL,CE,-2.02,250,2025-07-31,17.0,2.5,17.35,
HAL,CE,-2.05,5000,2025-07-31,145.95,116.2,149.0,
HUDCO,CE,-2.5,250,2025-07-31,1.95,21.15,2.0,
JINDALSTEL,CE,-2.76,950,2025-07-31,28.2,30.0,29.0,29.75
CHAMBLFERT,PE,-2.81,550,2025-07-31,19.2,12.1,,12.45
POLICYBZR,PE,-3.09,1850,2025-07-31,67.75,56.4,,58.2
IRCTC,PE,-3.23,800,2025-07-31,12.7,22.5,12.45,23.25
INOXWIND,PE,-3.3,200,2025-07-31,0.7,23.45,0.7,24.25
BALKRISIND,PE,-3.45,2600,2025-07-31,64.95,40.55,67.0,42.0
PAYTM,CE,-3.59,900,2025-07-31,38.95,27.6,40.4,26.7
SUPREMEIND,PE,-3.73,4200,2025-07-31,151.1,129.0,,134.0
LUPIN,PE,-3.94,1900,2025-07-31,59.35,42.65,,44.4
SOLARINDS,CE,-4.46,16500,2025-07-31,535.0,439.95,560.0,450.0
AXISBANK,CE,-4.72,1150,2025-07-31,36.35,17.4,38.15,18.0
FEDERALBNK,PE,-4.76,200,2025-07-31,15.2,1.0,15.55,1.05
GRANULES,CE,-4.9,500,2025-07-31,9.7,28.15,10.2,27.2
UNOMINDA,PE,-4.99,1100,2025-07-31,42.6,30.45,41.05,32.05
TATAELXSI,CE,-5.49,6150,2025-07-31,166.05,235.55,175.7,238.6
SONACOMS,CE,-5.78,450,2025-07-31,22.0,13.85,23.35,13.25
SBILIFE,CE,-5.84,1800,2025-07-31,44.35,26.35,47.1,27.4
MARICO,PE,-6.37,750,2025-07-31,8.15,25.0,8.65,26.7
MAZDOCK,CE,-6.51,3300,2025-07-31,125.0,120.85,133.7,
CESC,CE,-6.67,200,2025-07-31,0.7,0.0,0.75,
LICHSGFIN,CE,-6.72,600,2025-07-31,18.05,11.15,19.35,10.9
ASTRAL,PE,-6.89,1500,2025-07-31,37.75,39.85,37.5,42.8
NTPC,PE,-7.07,350,2025-07-31,2.65,8.55,,9.2
CIPLA,CE,-7.12,1500,2025-07-31,31.95,36.05,34.4,37.75
ABCAPITAL,CE,-7.13,250,2025-07-31,26.7,1.15,28.75,1.15
PETRONET,PE,-7.41,300,2025-07-31,11.0,5.0,11.5,5.4
INDIANB,CE,-7.65,650,2025-07-31,15.7,26.7,17.0,
TATATECH,PE,-8.54,700,2025-07-31,23.6,18.2,22.45,19.9
POLYCAB,CE,-8.54,6700,2025-07-31,242.5,192.45,265.15,178.7
ADANIENT,CE,-8.63,2600,2025-07-31,57.7,62.85,63.15,60.35
ONGC,PE,-8.67,250,2025-07-31,2.15,7.9,2.35,8.65
BANDHANBNK,PE,-8.79,200,2025-07-31,0.9,22.3,,24.45
TATACONSUM,CE,-9.09,1100,2025-07-31,24.5,23.9,26.95,23.8
BANKBARODA,PE,-9.32,250,2025-07-31,3.05,10.7,3.0,11.8
INDIGO,PE,-9.47,5850,2025-07-31,150.5,154.9,138.3,171.1
RVNL,CE,-9.88,400,2025-07-31,7.3,21.9,8.1,21.5
HDFCAMC,PE,-10.0,5150,2025-07-31,156.9,144.0,157.0,160.0
CROMPTON,CE,-10.14,350,2025-07-31,6.65,15.15,7.4,15.25
CGPOWER,CE,-10.42,650,2025-07-31,34.4,10.8,38.4,10.55
TVSMOTOR,PE,-10.44,2850,2025-07-31,66.5,69.95,67.4,78.1
JSWENERGY,PE,-10.55,500,2025-07-31,27.75,9.75,27.6,10.9
HAVELLS,CE,-10.81,1500,2025-07-31,59.0,30.45,66.15,28.35
BDL,PE,-10.86,2000,2025-07-31,73.05,78.0,69.45,87.5
JSWSTEEL,CE,-10.94,1050,2025-07-31,23.2,30.9,26.05,29.35
TRENT,CE,-11.23,5400,2025-07-31,194.0,158.0,218.55,150.0
MOTHERSON,PE,-11.32,150,2025-07-31,7.2,2.35,,2.65
EXIDEIND,CE,-11.34,400,2025-07-31,4.3,18.3,4.85,16.8
EICHERMOT,PE,-11.43,5700,2025-07-31,104.1,92.95,102.0,104.95
ACC,PE,-11.49,2000,2025-07-31,40.9,44.7,37.0,50.5
INDUSTOWER,CE,-11.68,400,2025-07-31,14.75,7.8,16.7,
AARTIIND,CE,-11.82,450,2025-07-31,18.65,10.0,21.15,9.2
BSE,PE,-12.28,2500,2025-07-31,126.8,100.0,,114.0
PNBHOUSING,PE,-12.75,1100,2025-07-31,33.9,34.9,30.7,40.0
TITAN,CE,-13.41,3450,2025-07-31,71.0,73.9,82.0,74.5
IRFC,CE,-13.64,150,2025-07-31,0.95,12.9,1.1,12.6
DMART,CE,-13.91,4200,2025-07-31,124.05,133.25,144.1,
GRASIM,CE,-14.48,2800,2025-07-31,63.8,53.35,74.6,49.25
OIL,PE,-14.69,450,2025-07-31,14.0,15.1,12.65,17.7
MCX,CE,-14.7,8400,2025-07-31,336.95,262.0,395.0,228.45
LTF,PE,-14.75,200,2025-07-31,12.05,2.6,12.1,3.05
SAIL,CE,-15.38,150,2025-07-31,0.55,14.2,0.65,
DIVISLAB,PE,-16.0,7000,2025-07-31,156.0,183.0,151.85,217.85
IGL,CE,-16.06,200,2025-07-31,24.05,0.85,28.65,
ABB,PE,-16.24,5900,2025-07-31,165.05,147.8,147.8,176.45
TCS,CE,-16.34,3400,2025-07-31,73.2,84.75,87.5,75.4
SJVN,CE,-16.42,100,2025-07-31,2.8,4.0,3.35,
COALINDIA,PE,-16.43,400,2025-07-31,2.55,14.5,2.3,17.35
ICICIGI,CE,-16.47,2000,2025-07-31,66.7,43.25,79.85,
CANBK,PE,-16.67,100,2025-07-31,13.5,0.25,13.5,0.3
NHPC,CE,-16.67,100,2025-07-31,0.25,0.0,0.3,
BAJAJFINSV,PE,-16.76,2000,2025-07-31,64.0,31.3,60.35,37.6
LODHA,PE,-17.15,1400,2025-07-31,46.05,49.75,40.6,60.05
PIIND,PE,-17.87,4150,2025-07-31,120.0,81.8,110.0,99.6
CUMMINSIND,PE,-18.05,3500,2025-07-31,86.6,96.7,80.0,118.0
SYNGENE,PE,-18.15,650,2025-07-31,12.2,21.65,10.7,26.45
BRITANNIA,PE,-18.39,5900,2025-07-31,116.7,113.4,106.0,138.95
ANGELONE,PE,-18.6,2750,2025-07-31,114.9,123.6,103.85,151.85
LT,CE,-18.75,3600,2025-07-31,66.95,68.1,82.4,58.0
ZYDUSLIFE,CE,-18.79,1000,2025-07-31,11.45,40.7,14.1,37.05
NCC,CE,-20.0,250,2025-07-31,0.8,24.5,1.0,
ITC,PE,-21.05,400,2025-07-31,20.9,0.75,19.8,0.95
INDHOTEL,PE,-21.51,750,2025-07-31,19.8,18.25,17.5,23.25
DRREDDY,CE,-22.05,1250,2025-07-31,40.65,25.05,52.15,21.4
BSOFT,CE,-22.44,450,2025-07-31,6.05,28.75,7.8,27.0
CAMS,PE,-22.46,4200,2025-07-31,136.0,143.1,,184.55
INDUSINDBK,CE,-22.9,850,2025-07-31,22.05,26.0,28.6,22.45
SBICARD,PE,-23.63,950,2025-07-31,19.5,30.7,,40.2
FORTIS,CE,-26.06,800,2025-07-31,13.9,28.8,18.8,25.2
BHEL,PE,-28.09,250,2025-07-31,16.5,3.2,13.35,4.45
HINDPETRO,CE,-29.01,450,2025-07-31,11.5,15.05,16.2,
DLF,CE,-30.99,850,2025-07-31,14.7,34.5,21.3,26.5
VBL,PE,-31.33,450,2025-07-31,23.2,5.7,19.05,8.3
BIOCON,PE,-31.34,350,2025-07-31,27.35,2.3,24.05,3.35
IRB,CE,-33.33,50,2025-07-31,0.9,2.25,1.35,
BPCL,CE,-33.86,350,2025-07-31,8.4,9.3,12.7,7.4
NATIONALUM,CE,-37.04,200,2025-07-31,1.7,14.6,2.7,11.6
DELHIVERY,PE,-39.05,400,2025-07-31,23.2,5.15,18.35,8.45
DABUR,PE,-44.64,500,2025-07-31,20.85,3.1,15.75,5.6
CONCOR,PE,-46.62,600,2025-07-31,25.0,7.9,,14.8
ABFRL,CE,-50.0,100,2025-07-31,0.05,20.65,0.1,
NYKAA,PE,-62.64,200,2025-07-31,14.4,1.7,,4.55
